         93881 function calls (93668 primitive calls) in 3.223 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       65    0.000    0.000    0.000    0.000 /Users/matheusfontana/.pyenv/versions/3.11.7/lib/python3.11/selectors.py:234(register)
       64    0.000    0.000    0.006    0.000 /Users/matheusfontana/Documents/repos/python-cpu-profiling/venv/lib/python3.11/site-packages/aiohappyeyeballs/impl.py:25(start_connection)
       78    0.000    0.000    0.001    0.000 /Users/matheusfontana/.pyenv/versions/3.11.7/lib/python3.11/http/cookies.py:485(__set)
      141    0.000    0.000    0.000    0.000 {method 'fullmatch' of 're.Pattern' objects}
        9    0.000    0.000    0.000    0.000 {built-in method builtins.__build_class__}
       60    0.000    0.000    0.005    0.000 /Users/matheusfontana/Documents/repos/python-cpu-profiling/venv/lib/python3.11/site-packages/aiohttp/connector.py:1005(_resolve_host_with_throttle)
       53    0.000    0.000    0.001    0.000 /Users/matheusfontana/.pyenv/versions/3.11.7/lib/python3.11/selectors.py:535(unregister)
       64    0.000    0.000    0.001    0.000 /Users/matheusfontana/.pyenv/versions/3.11.7/lib/python3.11/asyncio/timeouts.py:97(__aexit__)
       85    0.000    0.000    0.008    0.000 /Users/matheusfontana/.pyenv/versions/3.11.7/lib/python3.11/http/cookies.py:525(load)
       35    0.000    0.000    0.003    0.000 /Users/matheusfontana/Documents/repos/python-cpu-profiling/venv/lib/python3.11/site-packages/aiohttp/http_writer.py:75(_write)
      177    0.000    0.000    0.026    0.000 /Users/matheusfontana/Documents/repos/python-cpu-profiling/venv/lib/python3.11/site-packages/aiohttp/client_reqrep.py:1257(text)
       32    0.000    0.000    0.005    0.000 /Users/matheusfontana/.pyenv/versions/3.11.7/lib/python3.11/asyncio/selector_events.py:639(_sock_connect)
       64    0.000    0.000    0.001    0.000 /Users/matheusfontana/.pyenv/versions/3.11.7/lib/python3.11/asyncio/timeouts.py:85(__aenter__)
      141    0.000    0.000    0.001    0.000 /Users/matheusfontana/.pyenv/versions/3.11.7/lib/python3.11/http/cookies.py:349(set)
       96    0.000    0.000    0.001    0.000 /Users/matheusfontana/.pyenv/versions/3.11.7/lib/python3.11/socket.py:521(type)
       32    0.000    0.000    0.003    0.000 /Users/matheusfontana/.pyenv/versions/3.11.7/lib/python3.11/asyncio/selector_events.py:921(__init__)
      337    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
       35    0.000    0.000    0.000    0.000 /Users/matheusfontana/Documents/repos/python-cpu-profiling/venv/lib/python3.11/site-packages/aiohttp/client_reqrep.py:854(__init__)
       15    0.000    0.000    0.002    0.000 /Users/matheusfontana/Documents/repos/python-cpu-profiling/venv/lib/python3.11/site-packages/aiohttp/client_reqrep.py:1234(get_encoding)
      126    0.000    0.000    0.021    0.000 /Users/matheusfontana/Documents/repos/python-cpu-profiling/venv/lib/python3.11/site-packages/aiohttp/connector.py:1046(_create_connection)
     1142    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
      128    0.000    0.000    0.001    0.000 /Users/matheusfontana/.pyenv/versions/3.11.7/lib/python3.11/socket.py:515(family)
       53    0.000    0.000    0.000    0.000 /Users/matheusfontana/.pyenv/versions/3.11.7/lib/python3.11/calendar.py:653(timegm)
      122    0.000    0.000    0.000    0.000 /Users/matheusfontana/Documents/repos/python-cpu-profiling/venv/lib/python3.11/site-packages/aiohttp/helpers.py:435(is_ip_address)
      314    0.000    0.000    0.000    0.000 /Users/matheusfontana/.pyenv/versions/3.11.7/lib/python3.11/http/cookies.py:190(_unquote)
       30    0.000    0.000    0.003    0.000 /Users/matheusfontana/.pyenv/versions/3.11.7/lib/python3.11/concurrent/futures/thread.py:161(submit)
       32    0.000    0.000    0.000    0.000 {method 'getsockname' of '_socket.socket' objects}
       32    0.000    0.000    0.000    0.000 /Users/matheusfontana/.pyenv/versions/3.11.7/lib/python3.11/asyncio/base_events.py:99(_ipaddr_info)
       64    0.000    0.000    0.000    0.000 /Users/matheusfontana/.pyenv/versions/3.11.7/lib/python3.11/asyncio/selector_events.py:243(_ensure_fd_no_transport)
       81    0.000    0.000    0.000    0.000 /Users/matheusfontana/Documents/repos/python-cpu-profiling/venv/lib/python3.11/site-packages/aiohttp/cookiejar.py:223(_expire_cookie)
       50    0.000    0.000    0.001    0.000 /Users/matheusfontana/.pyenv/versions/3.11.7/lib/python3.11/asyncio/selector_events.py:314(_remove_writer)
        1    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
       64    0.000    0.000    0.000    0.000 /Users/matheusfontana/Documents/repos/python-cpu-profiling/venv/lib/python3.11/site-packages/aiohttp/client_reqrep.py:382(is_ssl)
       15    0.000    0.000    0.001    0.000 /Users/matheusfontana/Documents/repos/python-cpu-profiling/venv/lib/python3.11/site-packages/aiohttp/compression_utils.py:100(__init__)
       77    0.000    0.000    0.001    0.000 /Users/matheusfontana/.pyenv/versions/3.11.7/lib/python3.11/asyncio/base_events.py:709(call_later)
      125    0.000    0.000    0.001    0.000 /Users/matheusfontana/.pyenv/versions/3.11.7/lib/python3.11/asyncio/events.py:103(__init__)
       32    0.000    0.000    0.000    0.000 /Users/matheusfontana/.pyenv/versions/3.11.7/lib/python3.11/weakref.py:164(__setitem__)
       35    0.000    0.000    0.002    0.000 /Users/matheusfontana/.pyenv/versions/3.11.7/lib/python3.11/asyncio/sslproto.py:671(_write_appdata)
       32    0.000    0.000    0.008    0.000 /Users/matheusfontana/.pyenv/versions/3.11.7/lib/python3.11/asyncio/selector_events.py:64(_make_ssl_transport)
       13    0.000    0.000    0.000    0.000 {built-in method _thread.start_new_thread}
       70    0.000    0.000    0.000    0.000 /Users/matheusfontana/Documents/repos/python-cpu-profiling/venv/lib/python3.11/site-packages/aiohttp/streams.py:666(read)
      144    0.000    0.000    0.061    0.000 /Users/matheusfontana/Documents/repos/python-cpu-profiling/venv/lib/python3.11/site-packages/aiohttp/client.py:1408(send)
       35    0.000    0.000    0.002    0.000 /Users/matheusfontana/.pyenv/versions/3.11.7/lib/python3.11/asyncio/sslproto.py:695(_do_write)
      254    0.000    0.000    0.000    0.000 /Users/matheusfontana/.pyenv/versions/3.11.7/lib/python3.11/selectors.py:215(_fileobj_lookup)
       35    0.000    0.000    0.000    0.000 /Users/matheusfontana/Documents/repos/python-cpu-profiling/venv/lib/python3.11/site-packages/aiohttp/connector.py:183(_notify_release)
       30    0.000    0.000    0.001    0.000 /Users/matheusfontana/.pyenv/versions/3.11.7/lib/python3.11/asyncio/futures.py:345(_copy_future_state)
       32    0.000    0.000    0.008    0.000 /Users/matheusfontana/.pyenv/versions/3.11.7/lib/python3.11/asyncio/sslproto.py:530(_start_handshake)
